ANTECO_SP,Negros_shrimp_farm,NSF_ANTECO_PR
0,0,0
0,0,0
0,0,0
0,0,0
0.010178224,0.003597214,0.009520697
0.223382937,0.16447468,0.208952105
0.444048678,0.354959589,0.415362548
0.636990696,0.510329451,0.595840258
0.742153388,0.628402451,0.694209302
0.799162758,0.70779231,0.747535791
0.798546512,0.709731474,0.746959355
0.752417758,0.720710022,0.70381058
0.6546643,0.614038951,0.612372124
0.477839772,0.44677457,0.446970693
0.261284227,0.258895119,0.244404922
0.020763857,0.033966491,0.019422484
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.005825601,0.000443627,0.005449259
0.202516951,0.136105418,0.189434089
0.344494821,0.307424768,0.322240002
0.312027039,0.413629726,0.291869682
0.211404469,0.601929464,0.197747462
0.486831314,0.613078151,0.45538137
0.654723688,0.52335019,0.612427675
0.631033755,0.585299893,0.590268143
0.54889828,0.404961555,0.513438728
0.479602686,0.292438911,0.448619721
0.27108747,0.126789591,0.253574862
0.034714565,0.003204093,0.032471958
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.002665326,0.000251498,0.002493142
0.065828041,0.123192372,0.061575462
0.147669886,0.351038791,0.138130217
0.225754023,0.560406656,0.211170015
0.249522371,0.69556564,0.233402897
0.272822346,0.4765051,0.255197663
0.275091254,0.476841446,0.257319996
0.283088561,0.501582371,0.264800667
0.205932852,0.465142232,0.192629318
0.126117544,0.404972565,0.117970184
0.081118331,0.24528086,0.07587798
0.002195177,0.047174016,0.002053366
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.001165791,0.003186301,0.001090479
0.107384983,0.183282895,0.100447772
0.296150468,0.404924853,0.277018758
0.347291735,0.60335428,0.324856231
0.164084723,0.73750213,0.153484634
0.344006362,0.805039939,0.321783098
0.25517241,0.80748585,0.238687936
0.273842828,0.762188789,0.256152221
0.446830011,0.646915872,0.417964204
0.35948315,0.477187491,0.336260065
